,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
396,west-bengal,2022,4,Merchant payments,171667404,140807748126.1634
397,west-bengal,2022,4,Recharge & bill payments,48921147,26026633153.201996
398,west-bengal,2022,4,Financial Services,268388,261122865.47893512
399,west-bengal,2022,4,Others,610414,457937874.8149981
400,arunachal-pradesh,2019,3,Recharge & bill payments,216228,50946104.94289842
401,arunachal-pradesh,2019,3,Peer-to-peer payments,133484,841037395.2474606
402,arunachal-pradesh,2019,3,Merchant payments,16900,17178248.07427002
403,arunachal-pradesh,2019,3,Financial Services,864,64089.11350267195
404,arunachal-pradesh,2019,3,Others,2758,3419197.4177385764
405,arunachal-pradesh,2019,2,Recharge & bill payments,131988,30420803.41271234
406,arunachal-pradesh,2019,2,Peer-to-peer payments,106527,704237943.4054435
407,arunachal-pradesh,2019,2,Merchant payments,16828,13955724.130712911
408,arunachal-pradesh,2019,2,Financial Services,267,160660.8821362781
409,arunachal-pradesh,2019,2,Others,3046,3880742.524023137
410,arunachal-pradesh,2019,1,Recharge & bill payments,121303,26796894.998233315
411,arunachal-pradesh,2019,1,Peer-to-peer payments,93494,568554821.4456317
412,arunachal-pradesh,2019,1,Merchant payments,9214,11727218.401334248
413,arunachal-pradesh,2019,1,Financial Services,256,140622.87093631705
414,arunachal-pradesh,2019,1,Others,2239,2730548.5978140826
415,arunachal-pradesh,2019,4,Recharge & bill payments,259183,63516906.09060433
416,arunachal-pradesh,2019,4,Peer-to-peer payments,177833,1100137447.9340453
417,arunachal-pradesh,2019,4,Merchant payments,19769,23192271.691576812
418,arunachal-pradesh,2019,4,Financial Services,314,305379.7987782319
419,arunachal-pradesh,2019,4,Others,2376,3421174.01227797
420,arunachal-pradesh,2020,3,Recharge & bill payments,514907,153463816.21184397
421,arunachal-pradesh,2020,3,Peer-to-peer payments,370418,2361603431.37578
422,arunachal-pradesh,2020,3,Merchant payments,72736,88145178.69272713
423,arunachal-pradesh,2020,3,Financial Services,1761,4030599.9171272423
424,arunachal-pradesh,2020,3,Others,3005,2695539.3607389224
425,arunachal-pradesh,2020,2,Recharge & bill payments,522495,145198528.22961134
426,arunachal-pradesh,2020,2,Peer-to-peer payments,247861,1630654426.0441835
427,arunachal-pradesh,2020,2,Merchant payments,35169,46446966.612447515
428,arunachal-pradesh,2020,2,Financial Services,1310,2655507.6964110374
429,arunachal-pradesh,2020,2,Others,1939,1761404.4023099935
430,arunachal-pradesh,2020,1,Recharge & bill payments,329834,86011654.77474582
431,arunachal-pradesh,2020,1,Peer-to-peer payments,203429,1263912288.4066367
432,arunachal-pradesh,2020,1,Merchant payments,31181,28553052.133918796
433,arunachal-pradesh,2020,1,Financial Services,470,337812.94816169393
